kepid,kepler_name,koi_kepmag,koi_gmag,ra,dec,koi_period,koi_prad,koi_disposition
3952651,,13.96,14.709,291.04391,39.023685,32.9045733,28.34,FALSE POSITIVE
5115178,,15.205,15.77,295.84485,40.280869,12.851722103,47.26,FALSE POSITIVE
5771719,,14.137,14.717,284.64886,41.015018,12.264867364,28.29,FALSE POSITIVE
9025922,,13.29,nan,293.26605,45.350697,11.32029599,8.02,FALSE POSITIVE
5389540,,13.259,13.846,298.46799,40.516678,10.26231992,1.98,FALSE POSITIVE
6781535,,13.666,14.144,293.07452,42.280258,9.12208711,52.66,FALSE POSITIVE
11955499,,14.88,15.571,286.88751,50.377071,9.04189129,3.24,FALSE POSITIVE
3247404,,18.533,18.69,294.46231,38.381912,8.8109721,47.94,FALSE POSITIVE
9851126,,13.183,14.341,298.79532,46.670448,8.480303653,22.25,FALSE POSITIVE
7708193,,15.994,16.736,298.99731,43.398861,7.942583252,219.02,FALSE POSITIVE
5531953,,15.855,17.402,291.285,40.730049,6.93910337,1.41,CANDIDATE
10264660,Kepler-14 b,12.128,12.363,287.70883,47.33305,6.790120801,9.86,CONFIRMED
3742855,,13.133,13.14,290.26614,38.837917,6.397185875,15.02,FALSE POSITIVE
11455484,,16.152,16.507,292.02893,49.387688,6.142812722,31.9,FALSE POSITIVE
6124941,,13.783,14.891,292.26181,41.442554,5.670155713,5.85,FALSE POSITIVE
8848288,,9.837,10.706,301.0473,45.087631,5.56648691,43.67,FALSE POSITIVE
9777090,,17.779,18.585,294.47156,46.58923,5.50817321,39.18,FALSE POSITIVE
8766222,,13.85,nan,296.39639,44.963036,5.2972293,47.7,FALSE POSITIVE
12504988,,14.575,14.987,288.25284,51.417332,5.093938816,17.19,FALSE POSITIVE
10158418,,13.592,14.06,297.64606,47.167488,5.007414194,8.8,CANDIDATE
2449090,,16.237,17.141,292.69629,37.707237,4.944046127,54.29,FALSE POSITIVE
10710755,,14.843,15.342,281.9364,48.010059,4.816610903,26.15,FALSE POSITIVE
5716508,,13.524,15.438,295.03052,40.958149,4.75307877,505.94,FALSE POSITIVE
10287248,,13.987,14.839,296.69562,47.327309,4.722254104,14.45,FALSE POSITIVE
6752502,,13.826,14.69,282.15491,42.234547,4.305219002,10.34,FALSE POSITIVE
5021174,,17.705,18.234,294.58798,40.167068,4.04506346,67.94,FALSE POSITIVE
5370302,,15.016,15.552,294.05676,40.549679,3.9043425,12.28,FALSE POSITIVE
4474637,,16.81,nan,294.34079,39.563118,3.886730304,61.58,FALSE POSITIVE
11913013,,17.445,17.755,291.02301,50.262226,3.74781242,38.04,FALSE POSITIVE
2445975,,13.513,14.404,292.03091,37.773529,3.388887193,10.72,FALSE POSITIVE
12062660,,17.382,17.239,292.07089,50.546799,2.929299629,51.67,FALSE POSITIVE
10384962,,14.371,14.816,281.77554,47.59325,2.879243323,21.02,FALSE POSITIVE
8266276,,15.72,16.696,301.4693,44.159649,2.59488443,2.36,CANDIDATE
2438062,,16.389,16.586,290.27707,37.791946,2.44295727,44.35,FALSE POSITIVE
2438061,,nan,nan,290.27701,37.79097,2.442941283,48.18,FALSE POSITIVE
5303557,,16.494,17.338,298.57697,40.490395,2.399081606,40.6,FALSE POSITIVE
10816107,,13.945,14.444,298.29193,48.194691,2.161583501,29.61,FALSE POSITIVE
7960295,,19.485,19.993,291.89343,43.730251,2.10413487,67.03,FALSE POSITIVE
3973002,,14.985,15.46,296.00211,39.000511,1.992098705,45.85,FALSE POSITIVE
11858741,,16.485,17.502,288.76028,50.176834,1.780982447,60.45,FALSE POSITIVE
